superstructure	structure	cardinality
	FAM_RECORD.FAM	0:M
	HEADER.HEAD	1:1
	INDIVIDUAL_RECORD.INDI	0:M
	LINEAGE_LINKED_GEDCOM.TRLR	1:1
	MULTIMEDIA_RECORD.OBJE	0:M
	NOTE_RECORD.NOTE	0:M
	REPOSITORY_RECORD.REPO	0:M
	SOURCE_RECORD.SOUR	0:M
	SUBMISSION_RECORD.SUBN	0:1
	SUBMITTER_RECORD.SUBM	0:M
ADDRESS_STRUCTURE.ADDR	ADDRESS_STRUCTURE.ADDR.ADR1	0:1
ADDRESS_STRUCTURE.ADDR	ADDRESS_STRUCTURE.ADDR.ADR2	0:1
ADDRESS_STRUCTURE.ADDR	ADDRESS_STRUCTURE.ADDR.CITY	0:1
ADDRESS_STRUCTURE.ADDR	ADDRESS_STRUCTURE.ADDR.CONT	0:M
ADDRESS_STRUCTURE.ADDR	ADDRESS_STRUCTURE.ADDR.CTRY	0:1
ADDRESS_STRUCTURE.ADDR	ADDRESS_STRUCTURE.ADDR.POST	0:1
ADDRESS_STRUCTURE.ADDR	ADDRESS_STRUCTURE.ADDR.STAE	0:1
ASSOCIATION_STRUCTURE.ASSO	ASSOCIATION_STRUCTURE.ASSO.RELA	1:1
ASSOCIATION_STRUCTURE.ASSO	ASSOCIATION_STRUCTURE.ASSO.TYPE	1:1
ASSOCIATION_STRUCTURE.ASSO	NOTE_STRUCTURE.NOTE	0:M
ASSOCIATION_STRUCTURE.ASSO	NOTE_STRUCTURE.NOTE#2	0:M
ASSOCIATION_STRUCTURE.ASSO	SOURCE_CITATION.SOUR	0:M
ASSOCIATION_STRUCTURE.ASSO	SOURCE_CITATION.SOUR#2	0:M
CHANGE_DATE.CHAN	CHANGE_DATE.CHAN.DATE	1:1
CHANGE_DATE.CHAN	NOTE_STRUCTURE.NOTE	0:M
CHANGE_DATE.CHAN	NOTE_STRUCTURE.NOTE#2	0:M
CHANGE_DATE.CHAN.DATE	CHANGE_DATE.CHAN.DATE.TIME	0:1
CHILD_TO_FAMILY_LINK.FAMC	CHILD_TO_FAMILY_LINK.FAMC.PEDI	0:M
CHILD_TO_FAMILY_LINK.FAMC	NOTE_STRUCTURE.NOTE	0:M
CHILD_TO_FAMILY_LINK.FAMC	NOTE_STRUCTURE.NOTE#2	0:M
FAMILY_EVENT_STRUCTURE.ANUL	ADDRESS_STRUCTURE.ADDR	0:1
FAMILY_EVENT_STRUCTURE.ANUL	ADDRESS_STRUCTURE.PHON	0:3
FAMILY_EVENT_STRUCTURE.ANUL	EVENT_DETAIL.AGE	0:1
FAMILY_EVENT_STRUCTURE.ANUL	EVENT_DETAIL.AGNC	0:1
FAMILY_EVENT_STRUCTURE.ANUL	EVENT_DETAIL.CAUS	0:1
FAMILY_EVENT_STRUCTURE.ANUL	EVENT_DETAIL.DATE	0:1
FAMILY_EVENT_STRUCTURE.ANUL	EVENT_DETAIL.TYPE	0:1
FAMILY_EVENT_STRUCTURE.ANUL	FAM_RECORD.FAM.FAMILY_EVENT_STRUCTURE.HUSB	0:1
FAMILY_EVENT_STRUCTURE.ANUL	FAM_RECORD.FAM.FAMILY_EVENT_STRUCTURE.WIFE	0:1
FAMILY_EVENT_STRUCTURE.ANUL	MULTIMEDIA_LINK.OBJE	0:M
FAMILY_EVENT_STRUCTURE.ANUL	MULTIMEDIA_LINK.OBJE#2	0:M
FAMILY_EVENT_STRUCTURE.ANUL	NOTE_STRUCTURE.NOTE	0:M
FAMILY_EVENT_STRUCTURE.ANUL	NOTE_STRUCTURE.NOTE#2	0:M
FAMILY_EVENT_STRUCTURE.ANUL	PLACE_STRUCTURE.PLAC	0:1
FAMILY_EVENT_STRUCTURE.ANUL	SOURCE_CITATION.SOUR	0:M
FAMILY_EVENT_STRUCTURE.ANUL	SOURCE_CITATION.SOUR#2	0:M
FAMILY_EVENT_STRUCTURE.CENS	ADDRESS_STRUCTURE.ADDR	0:1
FAMILY_EVENT_STRUCTURE.CENS	ADDRESS_STRUCTURE.PHON	0:3
FAMILY_EVENT_STRUCTURE.CENS	EVENT_DETAIL.AGE	0:1
FAMILY_EVENT_STRUCTURE.CENS	EVENT_DETAIL.AGNC	0:1
FAMILY_EVENT_STRUCTURE.CENS	EVENT_DETAIL.CAUS	0:1
FAMILY_EVENT_STRUCTURE.CENS	EVENT_DETAIL.DATE	0:1
FAMILY_EVENT_STRUCTURE.CENS	EVENT_DETAIL.TYPE	0:1
FAMILY_EVENT_STRUCTURE.CENS	FAM_RECORD.FAM.FAMILY_EVENT_STRUCTURE.HUSB	0:1
FAMILY_EVENT_STRUCTURE.CENS	FAM_RECORD.FAM.FAMILY_EVENT_STRUCTURE.WIFE	0:1
FAMILY_EVENT_STRUCTURE.CENS	MULTIMEDIA_LINK.OBJE	0:M
FAMILY_EVENT_STRUCTURE.CENS	MULTIMEDIA_LINK.OBJE#2	0:M
FAMILY_EVENT_STRUCTURE.CENS	NOTE_STRUCTURE.NOTE	0:M
FAMILY_EVENT_STRUCTURE.CENS	NOTE_STRUCTURE.NOTE#2	0:M
FAMILY_EVENT_STRUCTURE.CENS	PLACE_STRUCTURE.PLAC	0:1
FAMILY_EVENT_STRUCTURE.CENS	SOURCE_CITATION.SOUR	0:M
FAMILY_EVENT_STRUCTURE.CENS	SOURCE_CITATION.SOUR#2	0:M
FAMILY_EVENT_STRUCTURE.DIV	ADDRESS_STRUCTURE.ADDR	0:1
FAMILY_EVENT_STRUCTURE.DIV	ADDRESS_STRUCTURE.PHON	0:3
FAMILY_EVENT_STRUCTURE.DIV	EVENT_DETAIL.AGE	0:1
FAMILY_EVENT_STRUCTURE.DIV	EVENT_DETAIL.AGNC	0:1
FAMILY_EVENT_STRUCTURE.DIV	EVENT_DETAIL.CAUS	0:1
FAMILY_EVENT_STRUCTURE.DIV	EVENT_DETAIL.DATE	0:1
FAMILY_EVENT_STRUCTURE.DIV	EVENT_DETAIL.TYPE	0:1
FAMILY_EVENT_STRUCTURE.DIV	FAM_RECORD.FAM.FAMILY_EVENT_STRUCTURE.HUSB	0:1
FAMILY_EVENT_STRUCTURE.DIV	FAM_RECORD.FAM.FAMILY_EVENT_STRUCTURE.WIFE	0:1
FAMILY_EVENT_STRUCTURE.DIV	MULTIMEDIA_LINK.OBJE	0:M
FAMILY_EVENT_STRUCTURE.DIV	MULTIMEDIA_LINK.OBJE#2	0:M
FAMILY_EVENT_STRUCTURE.DIV	NOTE_STRUCTURE.NOTE	0:M
FAMILY_EVENT_STRUCTURE.DIV	NOTE_STRUCTURE.NOTE#2	0:M
FAMILY_EVENT_STRUCTURE.DIV	PLACE_STRUCTURE.PLAC	0:1
FAMILY_EVENT_STRUCTURE.DIV	SOURCE_CITATION.SOUR	0:M
FAMILY_EVENT_STRUCTURE.DIV	SOURCE_CITATION.SOUR#2	0:M
FAMILY_EVENT_STRUCTURE.DIVF	ADDRESS_STRUCTURE.ADDR	0:1
FAMILY_EVENT_STRUCTURE.DIVF	ADDRESS_STRUCTURE.PHON	0:3
FAMILY_EVENT_STRUCTURE.DIVF	EVENT_DETAIL.AGE	0:1
FAMILY_EVENT_STRUCTURE.DIVF	EVENT_DETAIL.AGNC	0:1
FAMILY_EVENT_STRUCTURE.DIVF	EVENT_DETAIL.CAUS	0:1
FAMILY_EVENT_STRUCTURE.DIVF	EVENT_DETAIL.DATE	0:1
FAMILY_EVENT_STRUCTURE.DIVF	EVENT_DETAIL.TYPE	0:1
FAMILY_EVENT_STRUCTURE.DIVF	FAM_RECORD.FAM.FAMILY_EVENT_STRUCTURE.HUSB	0:1
FAMILY_EVENT_STRUCTURE.DIVF	FAM_RECORD.FAM.FAMILY_EVENT_STRUCTURE.WIFE	0:1
FAMILY_EVENT_STRUCTURE.DIVF	MULTIMEDIA_LINK.OBJE	0:M
FAMILY_EVENT_STRUCTURE.DIVF	MULTIMEDIA_LINK.OBJE#2	0:M
FAMILY_EVENT_STRUCTURE.DIVF	NOTE_STRUCTURE.NOTE	0:M
FAMILY_EVENT_STRUCTURE.DIVF	NOTE_STRUCTURE.NOTE#2	0:M
FAMILY_EVENT_STRUCTURE.DIVF	PLACE_STRUCTURE.PLAC	0:1
FAMILY_EVENT_STRUCTURE.DIVF	SOURCE_CITATION.SOUR	0:M
FAMILY_EVENT_STRUCTURE.DIVF	SOURCE_CITATION.SOUR#2	0:M
FAMILY_EVENT_STRUCTURE.ENGA	ADDRESS_STRUCTURE.ADDR	0:1
FAMILY_EVENT_STRUCTURE.ENGA	ADDRESS_STRUCTURE.PHON	0:3
FAMILY_EVENT_STRUCTURE.ENGA	EVENT_DETAIL.AGE	0:1
FAMILY_EVENT_STRUCTURE.ENGA	EVENT_DETAIL.AGNC	0:1
FAMILY_EVENT_STRUCTURE.ENGA	EVENT_DETAIL.CAUS	0:1
FAMILY_EVENT_STRUCTURE.ENGA	EVENT_DETAIL.DATE	0:1
FAMILY_EVENT_STRUCTURE.ENGA	EVENT_DETAIL.TYPE	0:1
FAMILY_EVENT_STRUCTURE.ENGA	FAM_RECORD.FAM.FAMILY_EVENT_STRUCTURE.HUSB	0:1
FAMILY_EVENT_STRUCTURE.ENGA	FAM_RECORD.FAM.FAMILY_EVENT_STRUCTURE.WIFE	0:1
FAMILY_EVENT_STRUCTURE.ENGA	MULTIMEDIA_LINK.OBJE	0:M
FAMILY_EVENT_STRUCTURE.ENGA	MULTIMEDIA_LINK.OBJE#2	0:M
FAMILY_EVENT_STRUCTURE.ENGA	NOTE_STRUCTURE.NOTE	0:M
FAMILY_EVENT_STRUCTURE.ENGA	NOTE_STRUCTURE.NOTE#2	0:M
FAMILY_EVENT_STRUCTURE.ENGA	PLACE_STRUCTURE.PLAC	0:1
FAMILY_EVENT_STRUCTURE.ENGA	SOURCE_CITATION.SOUR	0:M
FAMILY_EVENT_STRUCTURE.ENGA	SOURCE_CITATION.SOUR#2	0:M
FAMILY_EVENT_STRUCTURE.EVEN	ADDRESS_STRUCTURE.ADDR	0:1
FAMILY_EVENT_STRUCTURE.EVEN	ADDRESS_STRUCTURE.PHON	0:3
