structure	payload
ADDRESS_STRUCTURE.ADDR	<ADDRESS_LINE>
ADDRESS_STRUCTURE.ADDR.ADR1	<ADDRESS_LINE1>
ADDRESS_STRUCTURE.ADDR.ADR2	<ADDRESS_LINE2>
ADDRESS_STRUCTURE.ADDR.CITY	<ADDRESS_CITY>
ADDRESS_STRUCTURE.ADDR.CONT	<ADDRESS_LINE>
ADDRESS_STRUCTURE.ADDR.CTRY	<ADDRESS_COUNTRY>
ADDRESS_STRUCTURE.ADDR.POST	<ADDRESS_POSTAL_CODE>
ADDRESS_STRUCTURE.ADDR.STAE	<ADDRESS_STATE>
ADDRESS_STRUCTURE.PHON	<PHONE_NUMBER>
ASSOCIATION_STRUCTURE.ASSO	@<XREF:INDI>@
ASSOCIATION_STRUCTURE.ASSO.RELA	<RELATION_IS_DESCRIPTOR>
ASSOCIATION_STRUCTURE.ASSO.TYPE	<RECORD_TYPE>
CHANGE_DATE.CHAN	
CHANGE_DATE.CHAN.DATE	<CHANGE_DATE>
CHANGE_DATE.CHAN.DATE.TIME	<TIME_VALUE>
CHILD_TO_FAMILY_LINK.FAMC	@<XREF:FAM>@
CHILD_TO_FAMILY_LINK.FAMC.PEDI	<PEDIGREE_LINKAGE_TYPE>
EVENT_DETAIL.AGE	<AGE_AT_EVENT>
EVENT_DETAIL.AGNC	<RESPONSIBLE_AGENCY>
EVENT_DETAIL.CAUS	<CAUSE_OF_EVENT>
EVENT_DETAIL.DATE	<DATE_VALUE>
EVENT_DETAIL.TYPE	<EVENT_DESCRIPTOR>
FAMILY_EVENT_STRUCTURE.ANUL	[Y|<NULL>]
FAMILY_EVENT_STRUCTURE.CENS	[Y|<NULL>]
FAMILY_EVENT_STRUCTURE.DIV	[Y|<NULL>]
FAMILY_EVENT_STRUCTURE.DIVF	[Y|<NULL>]
FAMILY_EVENT_STRUCTURE.ENGA	[Y|<NULL>]
FAMILY_EVENT_STRUCTURE.EVEN	
FAMILY_EVENT_STRUCTURE.MARB	[Y|<NULL>]
FAMILY_EVENT_STRUCTURE.MARC	[Y|<NULL>]
FAMILY_EVENT_STRUCTURE.MARL	[Y|<NULL>]
FAMILY_EVENT_STRUCTURE.MARR	[Y|<NULL>]
