primitive	size	values
ADDRESS_CITY	1:60	
ADDRESS_COUNTRY	1:60	
ADDRESS_LINE	1:60	
ADDRESS_LINE1	1:60	
ADDRESS_LINE2	1:60	
ADDRESS_POSTAL_CODE	1:10	
ADDRESS_STATE	1:60	
ADOPTED_BY_WHICH_PARENT	1:4	HUSB|WIFE|BOTH
AGE_AT_EVENT	1:12	
ANCESTRAL_FILE_NUMBER	1:12	
APPROVED_SYSTEM_ID	1:20	
ATTRIBUTE_TYPE	1:4	CAST|EDUC|NATI|OCCU|PROP|RELI|RESI|TITL
AUTOMATED_RECORD_ID	1:12	
CASTE_NAME	1:90	
CAUSE_OF_EVENT	1:90	
CERTAINTY_ASSESSMENT	1:1	0|1|2|3
CHANGE_DATE	10:11	
CHARACTER_SET	1:8	ANSEL|UNICODE|ASCII
COPYRIGHT_GEDCOM_FILE	1:90	
COPYRIGHT_SOURCE_DATA	1:90	
COUNT_OF_CHILDREN	1:3	
COUNT_OF_MARRIAGES	1:3	
DATE	4:35	
DATE_APPROXIMATED	4:35	
DATE_CALENDAR	4:35	
DATE_CALENDAR_ESCAPE	4:15	
DATE_EXACT	10:11	
DATE_FREN	4:35	
DATE_GREG	4:35	
DATE_HEBR	4:35	
DATE_JULN	4:35	
DATE_LDS_ORD	4:35	
DATE_PERIOD	7:35	
DATE_PHRASE	1:35	
DATE_RANGE	8:35	
DATE_VALUE	1:35	
DAY	1:2	
DESCRIPTIVE_TITLE	1:248	
DIGIT	1:1	
ENCODED_MULTIMEDIA_LINE	1:87	
ENTRY_RECORDING_DATE	1:90	
EVENTS_RECORDED	1:90	
EVENT_ATTRIBUTE_TYPE	1:15	
EVENT_DESCRIPTOR	1:90	
EVENT_TYPE_CITED_FROM	1:15	
EVENT_TYPE_FAMILY	3:4	
EVENT_TYPE_INDIVIDUAL	3:4	
FILE_NAME	1:90	
GEDCOM_CONTENT_DESCRIPTION	1:248	
GEDCOM_FORM	14:20	
GENERATIONS_OF_ANCESTORS	1:4	
GENERATIONS_OF_DESCENDANTS	1:4	
LANGUAGE_ID	1:15	
LANGUAGE_OF_TEXT	1:15	
LANGUAGE_PREFERENCE	1:90	
LDS_BAPTISM_DATE_STATUS	5:10	
LDS_CHILD_SEALING_DATE_STATUS	5:10	
LDS_ENDOWMENT_DATE_STATUS	5:10	
LDS_SPOUSE_SEALING_DATE_STATUS	3:10	
MONTH	:3	
MONTH_FREN	:4	
MONTH_HEBR	:3	
MULTIMEDIA_FILE_REFERENCE	1:30	
MULTIMEDIA_FORMAT	3:4	bmp|gif|jpeg|ole|pcx|tiff|wav
NAME_OF_BUSINESS	1:90	
NAME_OF_FAMILY_FILE	1:120	
NAME_OF_PRODUCT	1:90	
NAME_OF_REPOSITORY	1:90	
NAME_OF_SOURCE_DATA	1:90	
NAME_PERSONAL	1:120	
NAME_PIECE	1:90	
NAME_PIECE_GIVEN	1:120	
NAME_PIECE_NICKNAME	1:30	
NAME_PIECE_PREFIX	1:30	
NAME_PIECE_SUFFIX	1:30	
NAME_PIECE_SURNAME	1:120	
NAME_PIECE_SURNAME_PREFIX	1:30	
NATIONAL_ID_NUMBER	1:30	
NATIONAL_OR_TRIBAL_ORIGIN	1:120	
NEW_TAG	1:15	
NOBILITY_TYPE_TITLE	1:120	
NULL	0:0	
OCCUPATION	1:90	
ORDINANCE_PROCESS_FLAG	2:3	yes|no
PEDIGREE_LINKAGE_TYPE	5:7	adopted|birth|foster|sealing
PERMANENT_RECORD_FILE_NUMBER	1:90	
PHONE_NUMBER	1:25	
PHYSICAL_DESCRIPTION	1:248	
PLACE_HIERARCHY	1:120	
PLACE_LIVING_ORDINANCE	1:120	
PLACE_VALUE	1:120	
POSSESSIONS	1:248	
PUBLICATION_DATE	10:11	
RECEIVING_SYSTEM_NAME	1:20	
RECORD_IDENTIFIER	1:18	
RECORD_TYPE	3:4	FAM|INDI|NOTE|OBJE|REPO|SOUR|SUBM|SUBN
REGISTERED_RESOURCE_IDENTIFIER	1:25	
RELATION_IS_DESCRIPTOR	1:25	
RELIGIOUS_AFFILIATION	1:90	
RESPONSIBLE_AGENCY	1:120	
RESTRICTION_NOTICE	6:7	locked|privacy
ROLE_DESCRIPTOR	1:25	
ROLE_IN_EVENT	1:15	
SCHOLASTIC_ACHIEVEMENT	1:248	
SEX_VALUE	1:7	
SOCIAL_SECURITY_NUMBER	9:11	
SOURCE_CALL_NUMBER	1:120	
SOURCE_DESCRIPTION	1:248	
SOURCE_DESCRIPTIVE_TITLE	1:248	
SOURCE_FILED_BY_ENTRY	1:60	
SOURCE_JURISDICTION_PLACE	1:120	
SOURCE_MEDIA_TYPE	1:15	
SOURCE_ORIGINATOR	1:248	
SOURCE_PUBLICATION_FACTS	:248	
SUBMITTER_NAME	1:60	
SUBMITTER_REGISTERED_RFN	1:30	
SUBMITTER_TEXT	1:248	
TEMPLE_CODE	4:5	
TEXT	1:248	
TEXT_FROM_SOURCE	1:248	
TIME_VALUE	1:12	
TRANSMISSION_DATE	10:11	
USER_REFERENCE_NUMBER	1:20	
USER_REFERENCE_TYPE	1:40	
VERSION_NUMBER	1:15	
WHERE_WITHIN_SOURCE	1:248	
XREF	1:22	
YEAR	3:4	
YEAR_GREG	3:7	
