superstructure	tag	structure
	FAM	FAM_RECORD.FAM
	HEAD	HEADER.HEAD
	INDI	INDIVIDUAL_RECORD.INDI
	NOTE	NOTE_RECORD.NOTE
	OBJE	MULTIMEDIA_RECORD.OBJE
	REPO	REPOSITORY_RECORD.REPO
	SOUR	SOURCE_RECORD.SOUR
	SUBM	SUBMITTER_RECORD.SUBM
	SUBN	SUBMISSION_RECORD.SUBN
	TRLR	LINEAGE_LINKED_GEDCOM.TRLR
ADDRESS_STRUCTURE.ADDR	ADR1	ADDRESS_STRUCTURE.ADDR.ADR1
ADDRESS_STRUCTURE.ADDR	ADR2	ADDRESS_STRUCTURE.ADDR.ADR2
ADDRESS_STRUCTURE.ADDR	CITY	ADDRESS_STRUCTURE.ADDR.CITY
ADDRESS_STRUCTURE.ADDR	CONT	ADDRESS_STRUCTURE.ADDR.CONT
ADDRESS_STRUCTURE.ADDR	CTRY	ADDRESS_STRUCTURE.ADDR.CTRY
ADDRESS_STRUCTURE.ADDR	POST	ADDRESS_STRUCTURE.ADDR.POST
ADDRESS_STRUCTURE.ADDR	STAE	ADDRESS_STRUCTURE.ADDR.STAE
ASSOCIATION_STRUCTURE.ASSO	NOTE	NOTE_STRUCTURE.NOTE
ASSOCIATION_STRUCTURE.ASSO	NOTE	NOTE_STRUCTURE.NOTE#2
ASSOCIATION_STRUCTURE.ASSO	RELA	ASSOCIATION_STRUCTURE.ASSO.RELA
ASSOCIATION_STRUCTURE.ASSO	SOUR	SOURCE_CITATION.SOUR
ASSOCIATION_STRUCTURE.ASSO	SOUR	SOURCE_CITATION.SOUR#2
ASSOCIATION_STRUCTURE.ASSO	TYPE	ASSOCIATION_STRUCTURE.ASSO.TYPE
CHANGE_DATE.CHAN	DATE	CHANGE_DATE.CHAN.DATE
CHANGE_DATE.CHAN	NOTE	NOTE_STRUCTURE.NOTE
CHANGE_DATE.CHAN	NOTE	NOTE_STRUCTURE.NOTE#2
CHANGE_DATE.CHAN.DATE	TIME	CHANGE_DATE.CHAN.DATE.TIME
